Date,Open,Open2,Close,Close2,Moving Average,Stochastic,Momentum,Subtracao,Commodity Channel Index
2006-05-30,2.2604,"2,260,357",2.1864,"2,186,429",2.2727,0.2941200692,0.0132,0.0862,13035.4705
2006-05-31,2.2057,"2,205,714",2.1346,"2,134,643",2.2627,0,-0.1175,0.1280,15652.9569
2006-06-01,2.1375,"2,137,500",2.2204,"2,220,357",2.2385,0,-0.1289,0.0181,13907.7864
2006-06-02,2.2496,"2,249,643",2.2021,"2,202,143",2.2323,0.5263144968,-0.0350,0.0302,16561.9023
2006-06-05,2.1839,"2,183,928",2.1429,"2,142,857",2.2247,0.4144740478,-0.0600,0.0818,18745.7825
2006-06-06,2.1507,"2,150,714",2.1329,"2,132,857",2.2077,0.05043688635,-0.1546,0.0748,16757.3929
2006-06-07,2.1464,"2,146,429",2.0914,"2,091,429",2.1841,0,-0.1368,0.0927,14193.6177
2006-06-08,2.0871,"2,087,143",2.1700,"2,170,000",2.1587,0,-0.0950,0.0113,11809.0089
2006-06-09,2.1850,"2,185,000",2.1157,"2,115,714",2.1563,0.6094176595,0.0354,0.0406,13818.2044
2006-06-12,2.1214,"2,121,428",2.0357,"2,035,714",2.1536,0.1883609456,-0.1046,0.1179,17251.5825
2006-06-13,2.0575,"2,057,500",2.0832,"2,083,214",2.1272,0,-0.1664,0.0440,13255.7119
2006-06-14,2.0814,"2,081,429",2.0575,"2,057,500",2.1103,0.3537226517,-0.0596,0.0528,12755.8740
2006-06-15,2.0464,"2,046,429",2.1207,"2,120,714",2.0981,0.162235825,-0.0754,0.0227,13531.7271
2006-06-16,2.1057,"2,105,714",2.0557,"2,055,714",2.0963,0.6329773766,0.0293,0.0406,15366.1515
2006-06-19,2.0654,"2,065,357",2.0429,"2,042,857",2.0912,0.1489358533,-0.1143,0.0484,17749.1766
2006-06-20,2.0575,"2,057,500",2.0525,"2,052,500",2.0731,0.08403529412,-0.0729,0.0206,15818.8800
2006-06-21,2.0621,"2,062,143",2.0664,"2,066,429",2.0640,0.1974823529,0.0168,0.0024,16660.3849
2006-06-22,2.0786,"2,078,571",2.1279,"2,127,857",2.0684,0.3027601886,-0.0168,0.0594,25030.7773
2006-06-23,2.1329,"2,132,857",2.1011,"2,101,071",2.0748,1,0.0704,0.0263,23540.3619
2006-06-26,2.1132,"2,113,214",2.1068,"2,106,786",2.0810,0.6848705882,-0.0196,0.0258,26448.9247
2006-06-27,2.1104,"2,110,357",2.0511,"2,051,071",2.0790,0.7521058824,0.0511,0.0280,26055.4802
2006-06-28,2.0461,"2,046,072",2.0007,"2,000,714",2.0784,0.09663529412,0.0082,0.0777,27610.8499
2006-06-29,2.0271,"2,027,143",2.1061,"2,106,071",2.0723,0,-0.0518,0.0337,24172.1427
